regID;year;population
43;1994;1632494
43;1995;1623370
43;1996;1609480
43;1997;1595919
43;1998;1581490
43;1999;1568722
43;2000;1553595
43;2001;1536772
43;2002;1518378
43;2003;1498976
43;2004;1472481
43;2005;1445356
43;2006;1418645
43;2007;1396017
43;2008;1379383
43;2009;1365003
43;2010;1352692
43;2011;1338758
43;2012;1327915
43;2013;1319076
43;2014;1310929
43;2015;1304348
43;2016;1297474
43;2017;1291684
43;2018;1283238
43;2019;1272109
44;1926;1081000
44;1959;921945
44;1970;870575
44;1979;803870
44;1989;809882
44;1990;804999
44;1991;804405
44;1992;801880
44;1993;799790
44;1994;796563
44;1995;794082
44;1996;788538
44;1997;782010
44;1998;775987
44;1999;769681
44;2000;761907
44;2001;753972
44;2002;743967
44;2003;734453
44;2004;723142
44;2005;711978
44;2006;699761
44;2007;689815
44;2008;683416
44;2009;677793
44;2010;672938
44;2011;666391
44;2012;661764
44;2013;658906
44;2014;656389
44;2015;654390
44;2016;651450
44;2017;648157
44;2018;643324
44;2019;637267
45;1926;1236000
45;1959;999170
45;1970;1085560
45;1979;1080274
45;1989;1104872
45;1990;1107280
45;1991;1105017
45;1992;1106527
45;1993;1106598
45;1994;1100563
45;1995;1099645
45;1996;1090355
45;1997;1080825
45;1998;1074789
45;1999;1068503
45;2000;1059515
45;2001;1047114
45;2002;1030748
45;2003;1016184
45;2004;999446
45;2005;981029
45;2006;961815
45;2007;946068
45;2008;934512
45;2009;925180
45;2010;918585
45;2011;908813
45;2012;896264
45;2013;885759
45;2014;877149
45;2015;869814
45;2016;861896
45;2017;854109
45;2018;845537
45;2019;834701
46;1926;1846000
46;1959;1483305
46;1970;1473864
46;1979;1398889
46;1989;1339414
46;1990;1332957
46;1991;1328929
46;1992;1325156
46;1993;1328161
46;1994;1329266
46;1995;1331632
46;1996;1325420
46;1997;1317566
46;1998;1307963
46;1999;1296206
46;2000;1281733
46;2001;1266467
46;2002;1248588
46;2003;1231097
46;2004;1213372
46;2005;1195812
46;2006;1177627
46;2007;1161582
46;2008;1151857
46;2009;1143329
46;2010;1134990
46;2011;1125648
46;2012;1121563
46;2013;1119262
46;2014;1118915
46;2015;1117378
46;2016;1120019
46;2017;1122893
46;2018;1115237
46;2019;1107041
47;1926;914000
47;1959;1244991
47;1970;1435729
47;1979;1519165
47;1989;1661173
47;1990;1667280
47;1991;1675188
47;1992;1678862
47;1993;1680519
47;1994;1676115
47;1995;1682657
47;1996;1685480
47;1997;1689067
47;1998;1692972
47;1999;1693301
47;2000;1686716
47;2001;1680358
47;2002;1672685
47;2003;1667150
47;2004;1673287
47;2005;1681445
47;2006;1685376
47;2007;1691111
47;2008;1692577
47;2009;1698900
47;2010;1704905
47;2011;1718581
47;2012;1733907
47;2013;1751135
47;2014;1763924
47;2015;1775540
47;2016;1778857
47;2017;1791916
47;2018;1813816
47;2019;1847867
48;1926;1478000
48;1959;1141567
48;1970;1224344
48;1979;1224653
48;1989;1230220
48;1990;1231486
48;1991;1233419
48;1992;1232409
48;1993;1238911
48;1994;1242943
48;1995;1246839
48;1996;1246232
48;1997;1244644
48;1998;1242645
48;1999;1239185
48;2000;1233679
