reg_ID;reg_alias_the_constitutional_name;reg_alias_human_name;reg_alias_okato;reg_alias_iso_code;reg_alias_tableau;reg_alias_datawrapper;reg_alias_datwrapper_square;reg_tile_column;reg_tile_row;reg_alias_short_2letters;reg_alias_short_3letters;reg_fo;reg_mask;reg_antimask;reg_alias_rosbris_ID;reg_alias_duckconsulting;reg_alias_fedstat;reg_alias_fias_name;reg_alias_fias_id;reg_alias_rossstat_order;reg_level;reg_type;reg_status;reg_alias_citytable
73;Ульяновская область;Ульяновская область;73000000000;RU-ULY;Ulyanovsk;Ульяновская область;Ульяновская область;6;5;УЛ;УЛН;ПФО;Улья;-;1173;Ульяновская область;        73000000000 Ульяновская область;Ульяновская Область;73;65;2;Регион;Область;Ульяновская
106;Уральский федеральный округ;Уральский федеральный округ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;66;1;Федеральный округ;-;-
27;Хабаровский край;Хабаровский край;8000000000;RU-KHA;Khabarovsk;Хабаровский край;Хабаровский край;15;3;ХБ;ХАБ;ДФО;Хаб;-;1108;Хабаровский край;        08000000000 Хабаровский край;Хабаровский Край;27;89;2;Регион;Край;Хабаровский
86;Ханты-Мансийский автономный округ — Югра;Ханты-Мансийский автономный округ;71100000000;RU-KHM;Khanty-Mansiyskiy Avtonomnyy Okrug;Ханты-Мансийский автономный округ — Югра;Ханты-Мансийский АО — Югра;9;3;ХМ;Х-М;УФО;ийский;-;171;Ханты-Мансийский автономный округ;            71100000000 Ханты-Мансийский автономный округ - Югра (Тюменская область);Ханты-Мансийский АО - Югра Автономный округ;86;70;2;Регион;Автономный округ;Ханты-Мансийский Автономный округ - Югра
101;Центральный федеральный округ;Центральный федеральный округ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;Федеральный округ;-;-
74;Челябинская область;Челябинская область;75000000000;RU-CHE;Chelyabinsk;Челябинская область;Челябинская область;9;5;ЧЛ;ЧЕЛ;УФО;Чел;-;1175;Челябинская область;        75000000000 Челябинская область;Челябинская Область;74;73;2;Регион;Область;Челябинская
95;Чеченская Республика;Чеченская Республика;96000000000;RU-CE;Chechnya;Чеченская республика;Чечня;5;9;ЧЕ;ЧЕЧ;СКФО;Чеч;-;1196;Чечня;        96000000000 Чеченская Республика*;Чеченская Республика;20;49;2;Регион;Республика;Чеченская
21;Чувашская Республика — Чувашия;Чувашская Республика;97000000000;RU-CU;Chuvash;Чувашская республика;Чувашия;6;4;ЧВ;ЧУВ;ПФО;Чув;-;1197;Чувашия;        97000000000 Чувашская Республика - Чувашия;Чувашская Республика;21;57;2;Регион;Республика;Чувашская Республика
87;Чукотский автономный округ;Чукотский автономный округ;77000000000;RU-CHU;Chukotskiy Avtonomnyy Okrug;Чукотский автономный округ;Чукотский АО;15;1;ЧК;ЧУК;ДФО;Чук;-;1177;Чукотский автономный округ;        77000000000 Чукотский автономный округ;Чукотский Автономный округ;87;96;2;Регион;Автономный округ;Чукотский
103;Южный федеральный округ;Южный федеральный округ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;34;1;Федеральный округ;-;-
89;Ямало-Ненецкий автономный округ;Ямало-Ненецкий автономный округ;71140000000;RU-YAN;Yamal-Nenets;Ямало-Ненецкий автономный округ;Ямало-Ненецкий АО;9;2;ЯН;Я-Н;УФО;ямало;Ненецкий;271;Ямало-Ненецкий автономный округ;            71140000000 Ямало-Ненецкий автономный округ (Тюменская область);Ямало-Ненецкий Автономный округ;89;71;2;Регион;Автономный округ;Ямало-Ненецкий
76;Ярославская область;Ярославская область;78000000000;RU-YAR;Yaroslavl;Ярославская область;Ярославская область;3;2;ЯР;ЯРС;ЦФО;Яросл;-;1178;Ярославская область;        78000000000 Ярославская область;Ярославская Область;76;19;2;Регион;Область;Ярославская
